source,target,weight
342,1118,7.5651
342,607,7.5536
342,541,7.4334
342,488,7.2694
342,499,6.5348
342,833,6.5119
342,471,6.4053
342,657,6.2517
342,1026,5.9742
342,444,5.9158
342,378,5.757
342,610,5.5832
342,938,5.1687
342,816,5.1682
342,363,5.0626
131,665,30.922
131,149,19.3456
131,288,12.9201
131,145,12.1581
131,244,11.839
131,1017,10.0314
131,543,9.7364
131,579,9.4425
131,330,8.7456
131,596,8.6552
131,771,8.5848
131,857,8.1814
131,197,8.044
131,649,7.9844
131,393,7.1512
131,135,7.001
131,636,6.9003
131,386,6.8955
131,223,6.6236
131,345,6.2904
131,458,5.8027
131,263,5.7577
131,457,5.5539
131,680,5.5285
131,644,5.3947
131,1037,5.3327
131,1372,4.9709
131,1097,4.8991
131,504,4.8072
131,622,4.7713
131,852,4.7688
131,207,4.7345
131,383,4.5889
131,1086,4.5383
131,216,4.5158
131,1033,4.4811
131,166,4.3454
131,667,4.3319
131,389,4.3048
131,377,4.2709
131,608,4.0431
929,984,2.362
929,1006,2.2986
929,1136,2.13
929,1293,2.0515
929,1101,2.0053
929,1237,1.8346
648,864,6.2678
648,1157,6.0795
648,1221,3.3433
648,1230,3.0962
648,649,2.9816
648,852,2.8722
648,809,2.2002
648,767,2.1845
648,697,2.0895
648,1086,2.0375
648,1003,1.9417
648,758,1.7633
734,780,4.2869
734,832,4.2533
734,1157,2.4761
734,882,2.2546
734,840,2.1483
734,1008,2.0736
734,1295,2.0201
1173,1338,2.4553
1173,1249,2.2867
379,566,5.0425
379,1121,4.0588
379,596,3.9003
379,767,3.7284
379,821,3.5702
379,1221,3.2085
379,1072,3.1966
379,457,3.0999
379,547,3.019
379,864,2.8457
379,518,2.6544
379,476,2.6052
379,648,2.587
379,697,2.5335
379,845,2.516
379,766,2.4613
379,504,2.4464
379,756,2.4373
379,772,2.404
809,998,3.096
809,1033,2.4539
809,1372,2.2612
809,1323,2.2325
809,1097,1.7271
809,1072,1.5307
569,750,4.6282
569,862,2.8722
569,1267,2.6942
569,615,2.6866
569,583,2.4701
569,772,2.4493
569,1015,2.422
569,1149,2.0743
569,690,2.0742
569,1048,2.0661
569,858,2.006
1003,1218,2.6597
1003,1086,1.9883
1003,1157,1.6506
445,458,8.7315
445,734,5.5769
445,590,5.507
445,714,5.1077
445,780,4.8496
445,489,4.4909
445,680,4.4307
445,454,4.4244
445,672,4.0313
445,797,3.996
445,479,3.9374
445,1047,3.7499
445,832,3.6752
445,685,3.6166
445,608,3.4112
223,579,10.6287
223,636,10.4218
223,680,8.1557
223,649,8.0722
223,330,7.8226
223,393,7.6578
223,383,7.6516
223,244,7.4435
223,1045,7.368
223,659,7.1284
223,852,7.0395
223,345,6.9413
223,224,6.7773
223,1017,5.81
223,472,5.5258
223,991,5.333
223,622,5.1578
223,376,5.0814
223,672,5.0589
223,455,4.6657
223,494,4.6587
223,1284,4.3615
223,390,4.2118
223,665,4.1438
223,783,4.1273
223,1062,3.9966
223,263,3.7318
223,596,3.7228
223,429,3.7071
223,495,3.7046
223,787,3.6915
223,635,3.6358
223,1157,3.5186
223,288,3.4913
223,326,3.4424
667,1073,7.1317
667,720,3.6469
667,671,3.5356
667,852,2.3844
667,942,2.3595
667,722,2.1973
667,985,2.1393
667,910,2.092
667,1187,2.0657
667,756,2.0353
667,1069,2.0201
667,1033,1.9529
998,1059,1.7921
998,1230,1.5871
998,1026,1.5482
998,1315,1.4974
494,997,10.2883
494,820,9.8168
494,1117,6.6272
494,871,6.3063
494,736,5.9986
494,729,5.2126
494,571,4.1519
494,973,3.9884
494,793,3.9672
494,689,3.8817
494,578,3.8097
494,521,3.3247
494,656,3.1975
2,193,23.5568
2,445,17.5856
2,566,15.139
2,379,15.0544
2,296,14.1332
2,369,13.7502
2,257,13.7061
2,32,12.0385
2,377,11.8128
2,367,11.6674
2,171,11.2969
2,200,11.2965
2,596,11.1411
2,5,11.1077
2,75,10.3783
2,330,9.8277
2,832,9.5256
2,39,9.5013
2,504,9.3711
2,646,9.288
2,492,9.2278
2,165,8.9758
2,63,8.9064
2,1136,8.6551
2,99,8.5174
2,256,8.4505
2,1101,8.2961
2,11,8.1953
2,454,8.1812
2,458,8.1659
2,145,7.9884
2,1221,7.9128
2,162,7.9062
2,1072,7.9022
2,60,7.7461
2,342,7.6829
2,476,7.4814
2,772,7.4747
2,8,7.4472
2,631,7.3993
2,382,7.3613
2,110,7.3426
2,747,7.3196
2,674,7.2913
2,590,7.2848
2,106,7.0911
2,700,6.9629
2,310,6.928
2,489,6.8906
2,598,6.888
579,636,22.6138
579,649,13.9159
579,622,9.0534
579,648,7.3382
579,809,7.315
579,771,6.9307
579,667,6.8627
579,720,5.6053
579,1033,5.4081
579,659,4.9608
579,665,4.548
579,596,4.4557
579,1372,4.3666
579,1017,4.0708
579,608,4.0653
579,707,4.0443
579,1157,3.9679
579,863,3.5437
579,852,3.3233
579,635,3.2524
605,832,4.5778
605,706,4.3594
605,619,3.9489
605,658,3.8332
605,681,3.7328
605,754,3.6461
605,852,3.5091
605,676,3.2295
605,626,3.1233
355,542,14.9007
355,1031,7.0998
355,572,5.2982
355,837,3.6613
355,368,2.8602
355,427,2.7489
355,596,2.5398
355,859,2.268
355,791,2.2381
355,574,2.1879
355,1148,1.853
355,544,1.7611
355,477,1.7371
355,1272,1.7109
355,813,1.6986
355,754,1.663
355,709,1.5675
355,428,1.5309
355,977,1.5267
355,472,1.4472
355,1225,1.4382
355,373,1.4277
355,367,1.389
355,1046,1.3813
665,857,7.5935
665,1017,7.0531
665,771,5.7574
665,765,3.0591
665,667,2.8553
665,961,2.8262
665,1086,2.5319
665,674,2.3449
665,680,2.3298
487,770,8.9626
487,558,5.4119
487,1097,4.3775
487,687,3.8041
487,833,3.6599
487,683,3.6076
487,736,3.2933
487,759,3.2905
487,490,3.2167
487,1180,3.2062
487,608,3.1957
487,609,3.1926
487,819,3.1783
487,517,3.153
109,244,27.3992
109,579,16.9325
109,260,15.8768
109,263,12.6817
109,131,12.6354
109,457,12.3889
109,145,12.0652
109,149,11.7972
109,809,11.732
109,636,11.7149
109,1033,11.1261
109,622,8.7266
109,330,8.7212
109,759,8.1422
109,667,8.1098
109,649,7.972
109,304,7.7775
109,345,7.5788
109,472,7.4906
109,135,6.6747
109,665,6.5264
109,393,6.4658
109,383,6.4433
109,674,6.3424
109,662,6.2231
109,720,6.1948
109,162,6.0942
109,252,6.0555
109,223,5.6499
109,783,5.455
109,197,5.4242
109,1372,5.1699
109,504,5.1588
109,714,5.0962
109,993,5.0
109,309,4.7932
109,600,4.7055
109,596,4.6759
109,707,4.5962
109,608,4.5145
109,857,4.3123
109,476,4.311
109,839,4.2578
109,852,4.1983
88,145,21.4326
88,131,19.8778
88,223,19.777
88,244,19.6043
88,149,18.9389
88,579,18.8514
88,636,18.3269
88,102,18.0846
88,345,17.3201
88,622,14.1662
88,109,13.5639
88,135,12.7898
88,263,11.6893
88,472,11.1971
88,649,11.0695
88,383,10.886
88,288,10.1959
88,648,9.9367
88,393,9.818
88,162,9.7824
88,457,9.2682
88,665,7.9995
88,476,7.2331
88,771,6.498
88,783,6.337
88,809,6.2542
88,1017,6.1586
88,1157,6.1359
88,429,6.0689
88,256,6.0294
88,857,5.3928
88,197,5.3682
88,667,5.3432
88,863,5.0681
88,991,5.0167
88,720,4.9183
88,184,4.9179
88,864,4.7648
88,1033,4.6904
88,376,4.6421
88,173,4.6367
88,1372,4.4883
88,544,4.4149
88,852,4.4116
88,707,4.3947
88,330,4.3625
87,345,13.5833
87,330,12.258
87,625,11.042
87,153,10.5748
87,88,10.3375
87,131,10.2961
87,659,9.0205
87,197,8.2828
87,458,8.0145
87,145,7.9198
87,498,7.8507
87,608,7.4399
87,223,7.0846
87,759,6.5945
87,377,5.439
87,173,5.3675
87,532,5.3603
87,904,5.2683
87,579,5.0975
87,397,4.979
87,731,4.9411
87,543,4.9275
87,179,4.8798
87,288,4.8591
87,672,4.6089
87,200,4.6003
87,168,4.4118
87,942,4.3704
87,991,4.3372
87,149,4.3107
87,344,4.2587
87,1348,4.225
87,1141,4.2117
87,832,4.2066
87,787,4.2004
87,339,4.0524
87,918,4.0342
87,337,3.9999
87,437,3.9856
87,216,3.9594
87,852,3.9466
87,1158,3.9453
504,756,8.2697
504,772,8.2328
504,905,6.6272
504,877,3.974
504,1021,3.7042
504,648,3.6836
504,1357,3.5597
504,728,3.4316
504,519,3.173
504,598,3.153
504,792,2.9321
504,667,2.902
504,566,2.8896
296,922,8.8021
296,700,7.8739
296,551,6.5265
296,767,5.35
296,330,5.2802
296,339,4.8614
296,740,4.7133
296,380,4.4958
296,845,4.4329
296,372,4.0856
296,445,3.9914
296,1207,3.985
296,894,3.8528
296,476,3.7906
296,708,3.6558
296,733,3.5965
296,427,3.5772
296,608,3.4537
296,458,3.4523
330,759,9.9748
330,458,8.4706
330,472,8.1739
330,596,6.4376
330,377,6.0001
330,625,5.8895
330,608,5.7549
330,390,5.2661
330,832,5.2634
330,457,5.1969
330,501,5.1801
330,731,5.1662
330,714,4.9241
330,445,4.9095
330,697,4.7983
330,383,4.7762
330,543,4.7408
330,1157,4.3954
330,1315,4.3475
330,672,4.297
330,863,4.2135
330,579,4.2088
330,852,4.0173
330,495,3.9328
330,470,3.8947
330,674,3.8829
383,636,7.11
383,596,6.739
383,961,6.1389
383,648,5.9824
383,579,5.9777
383,852,5.4499
383,622,5.307
383,649,4.8035
383,457,4.4801
383,472,4.3034
383,809,4.2193
383,674,4.1892
383,590,3.8974
383,390,3.741
383,672,3.5911
383,458,3.525
383,504,3.3999
383,429,3.0953
383,1157,3.0733
383,608,3.0057
383,427,2.9688
774,1165,5.7559
774,987,3.1529
774,1094,2.5817
774,909,2.082
774,1191,2.0173
774,1221,1.9589
774,965,1.931
774,1207,1.9224
759,986,5.1504
759,926,4.825
759,1199,4.3014
759,1015,3.3022
759,1031,3.214
759,903,2.8647
9,125,16.5215
9,204,14.1858
9,33,13.181
9,134,11.8378
9,95,11.029
9,237,10.8865
9,342,10.5002
9,144,10.4719
9,607,10.4026
9,150,9.7086
9,243,9.5591
9,61,9.3337
9,151,9.086
9,115,9.075
9,98,9.0122
9,347,8.7773
9,369,8.7636
9,356,8.7512
9,128,8.6951
9,161,8.3403
9,121,8.1181
9,624,8.0356
9,141,7.9347
9,358,7.8647
