id,label,size
1263,accidental killing,4
1264,cautionary tale,4
1265,audio visual experience,3
1266,baltic sea,3
1267,misfit,3
1268,christmas romance,3
1269,eccentric family,3
1270,mumbai (bombay),3
1271,faith tested,3
1272,customs,3
1273,meme,3
1274,kerala,3
1275,tax evasion,3
1276,munich,3
1277,match,3
1278,classmates,3
1279,newfoundland and labrador,3
1280,custody,3
1281,night vision,3
1282,paintings,3
1283,scratch film,3
1284,evil corporation,3
1285,macho,3
1286,plumber,3
1287,australian football league (afl),3
1288,child protagonist,3
1289,courtroom drama,3
1290,pulp,3
1291,coincidence,3
1292,heartfelt,3
1293,femme fatale,3
1294,russian roulette,3
1295,dying mother,3
1296,bowery boys,3
1297,local legend,3
1298,wistful,3
1299,essay,3
1300,mushrooms,3
1301,slapstick,3
1302,arthouse horror,3
1303,entity,3
1304,day in a life,3
1305,inquisition,3
1306,edutainment,3
1307,dirty old man,3
1308,war effort,3
1309,jack the ripper,3
1310,lizard,3
1311,parallel universe,3
1312,love story,3
1313,observation,3
1314,community spirit,3
1315,erotic horror,3
1316,winning lottery,3
1317,castaway,3
1318,cyborg,3
1319,die hard scenario,3
1320,caregiver,3
1321,ice cream truck,3
1322,black panther party,3
1323,trailer compilation,3
1324,kendo,3
1325,dog trainer,3
1326,inequality,3
1327,zombie,3
1328,rehearsal,3
1329,chemist,3
1330,old flame,3
1331,religious film,3
1332,japanese high school,3
1333,cloning,3
1334,dj,3
1335,music scene,3
1336,grotesque,3
1337,afghanistan,3
1338,horror short film,3
1339,bengali,3
1340,tennis player,3
1341,hobby,3
1342,metafiction,3
1343,crime spree,3
1344,film parable,3
1345,search for meaning,3
1346,family portrait,3
1347,comedic,3
1348,interview,3
1349,whorehouse,3
1350,warlord,3
1351,capture,3
1352,venezuela,3
1353,french music,3
1354,avant garde film,3
1355,leprosy,3
1356,comedy of errors,3
1357,promotion,2
1358,bankruptcy,2
1359,suffragettes,2
1360,quest for identity,2
1361,sports documentary,2
1362,child soldier,2
1363,chocolate,2
1364,dominican,2
1365,social outcast,2
1366,lgbt in the military,2
1367,heaven,2
1368,leader,2
1369,family secrets,2
1370,long lost relative,2
1371,man vs machine,2
1372,gonzo,2
1373,boy girl relationship,2
1374,comedy,2
1375,pretending to be gay,2
1376,gunman,2
1377,movie,2
1378,experimental short film,1
1379,venezia 70 - future reloaded,1
1380,horror,1
1381,music,1
1382,аллатра,1
1383,warkop dki,1
